real,imag,alpha,theta,imag_err
2.9179054419999955,-0.0001964291707301736,1.1665863005931694,-0.00014172045737092539,-0.0001037003206677707
2.9214235636265635,-0.0063569687907480115,1.1796763367174248,-0.007655024701936351,-0.0015130586128221345
2.950238721862693,-0.031660838464561344,1.098038936312239,-0.24148608523200096,-0.011538573110148092
2.9013761936999445,-0.004949920262150271,1.1416130710837344,-0.004821842891382779,5.6556146254264916e-05
2.9056319393081975,-0.0017318510991019913,1.1445760847025528,-0.0030836468161213747,-1.4270585800449202e-06
2.9178549038154378,-0.00021320623530431883,1.1665052876078985,-0.0001542282357138188,-3.139695217020344e-05
2.921506615713891,-0.005934843540729781,1.1790558959703048,-0.006768956128835047,0.0004314454088840819
2.9014274494876853,-0.005004065695700092,1.1416782365736955,-0.004861046541227232,-5.698073130224867e-05
2.905670486773891,-0.0017286001117528041,1.1446354285900808,-0.003087984112525613,4.158211850804677e-06
2.917890739239441,-0.00020138957681657503,1.1665629085297053,-0.0001454297842777008,4.913800998779835e-07
2.924605097033683,-0.0017677804405193144,1.1753364475169588,-0.0005531359504286818,-0.0006367644264712446
2.9215152898504617,-0.006433997567618838,1.180049446111883,-0.007774259969811629,-0.000492636481027142
2.8929790826184294,-0.005353587789906839,1.1278427531250597,-0.003430830884936444,-0.0011370206675004506
2.8997646141845994,-0.004901748711753909,1.1401902860433362,-0.005262881180803656,0.00025868159435074416
2.9055142557800133,-0.0021273111138778557,1.144168233476204,-0.0036723257943859313,-0.0008283839336494943
2.9154370170934922,-0.005406595755532814,1.163293910042762,-0.010069006052041056,0.0008186495033882099
2.9185501465687866,-0.0011600382307948884,1.1681618729689118,-0.0020624516638139776,0.00033081767568470867
2.9230203301347353,-0.01881712900256764,1.168709299946348,-0.018198528776172677,-0.008982177246440324
2.9203317975750664,-0.0031006401609810427,1.1695475673248878,-0.0031948892400238153,-0.000705906888738647
2.8943882219556305,-0.002008271517655889,1.1317011109122144,-0.0011336002298633749,-0.00030922290037767785
2.8995917869135837,-0.005183560935751476,1.1401953735545438,-0.005472926479593815,-0.00027451336225677893
2.905543237012196,-0.0021444172807823657,1.1442218154729422,-0.003722491529859692,-1.5413079338651246e-05
2.9156819109909273,-0.005607542683378649,1.16397566066837,-0.010494814008127323,-0.00021324866864168117
2.918578973179181,-0.0010781551651025529,1.1681948441234997,-0.0019214607069285069,7.38936023558514e-05
2.9202679490840198,-0.0028625421247131435,1.1695115967973304,-0.0029676788408582715,0.0002823495746054651
2.9269180280343554,-0.018959681373786636,1.1714215976926823,-0.019018540149483322,-0.0002256042734611989
2.8932335957679873,-0.004543376267525668,1.1287447901887875,-0.0028430184165502926,-0.001816494500189955
2.8997092242150906,-0.004954125293118614,1.1401765963167296,-0.005314607975774162,0.0002308411239503507
2.9055212408279276,-0.0021330011422460286,1.1441795762586209,-0.0036874557165318,1.2364198672456042e-05
2.9155027783987832,-0.0055229643005026965,1.1634715276356482,-0.010335784785961453,9.13597512749633e-05
2.9185681165494155,-0.0011197035924995907,1.1681860510302882,-0.0019915017637995892,-4.3726298808808e-05
2.9241303141972157,-0.020123448813748637,1.1694267119938382,-0.019043200766515816,-0.0016750168351468628
2.920311619404309,-0.002969281447422138,1.169543155915192,-0.0030738937791475103,-9.568657299168903e-05
2.8943094752460525,-0.0021297347765551673,1.131549443840678,-0.001208018540177913,-0.00013412658056495465
2.899597484869646,-0.0051679241518587295,1.1401932241166455,-0.005463324673486876,-0.0002115445764981367
2.9055418502307084,-0.0021437745653281864,1.1442190737446811,-0.0037204535521977253,-9.917942628507714e-06
2.9156710843390825,-0.0056006228774547,1.1639451399451861,-0.010480898606520572,-6.416836724226858e-05
2.9185779641048173,-0.0010813206698866511,1.1681937516891143,-0.001926836095995086,3.6261010570430054e-05
2.9202704161185933,-0.0028711977357703832,1.1695131350800174,-0.002976078235889462,0.00010889498398902265
2.926753209227905,-0.019008202207489607,1.1712990743455571,-0.01900690527220409,0.0008410146579598612
2.8929172632279427,-0.00557750810807532,1.1275966929452197,-0.003596687777202181,-0.002228922646512694
2.899779662570162,-0.004888994154737377,1.1401947947966238,-0.0052493983645809554,0.00028556008675794785
2.905512426216984,-0.002125714267290399,1.144165371403858,-0.003668164638592064,1.9690598621329748e-05
2.9154177540924575,-0.005372851414688357,1.1632423130554324,-0.009990984307236554,0.00019500990689311389
2.918546324630594,-0.0011704967468894709,1.1681575647206046,-0.0020808105590057664,-9.294698892607168e-05
2.9227490546847417,-0.01841809344491713,1.168513864669462,-0.017942042466611845,-0.00031459038017121396
2.920342451791859,-0.0031336518065472234,1.1695532730862361,-0.0032257722739571114,-0.00021390043153318543
2.929894857149998,-0.004052331223418206,1.1826244472741838,-0.004000316973490395,-0.00037714186654423405
2.930377160692521,-0.00268662423770875,1.1829391944731147,-0.003262198639186223,0.000301732404867484
2.894103318491978,-0.002468608930014428,1.1311320968694405,-0.0014192545920218736,-0.00015556630095107243
